idx,name,smiles,model_score,mw,docking_score,status
5753,D7800,Cc1ccc(NC(=O)c2ccc(NC(=O)N3CCSc4nc(C)cc(C)c43)cc2)c(Cl)c1,0.8092008,467.0,-7.718,ok
7096,D7800,Cc1ccc(CNC(=O)c2cc(-c3ccc(C)cc3)nc3n[nH]c(-c4ccc(F)cc4)c23)cc1,0.80768186,450.5,-8.39,ok
6046,D7800,Cc1cc(C)c(NC(=O)CSc2ncc3c(n2)-c2cc(Cl)ccc2N(C)S3(=O)=O)c(C)c1,0.80690944,489.0,-8.233,ok
5850,D7800,Cc1nc(N2CCOCC2)c2c(C(=O)N3CCN(c4cccc(C)c4C)CC3)c(C)oc2n1,0.80580664,449.6,-7.314,ok
3248,D7800,CSc1ccc(CCNC(=O)CCc2c(C)nc3c(c(C)nn3-c3ccc(C)c(C)c3)c2C)cc1,0.8058065,486.7,-6.672,ok
2300,D7800,Cc1ccc(-n2c(=O)c3c4c(sc3n(CC(=O)c3ccc(Cl)cc3)c2=O)CCC4)cc1C,0.80475765,465.0,-7.238,ok
11153,L6020,COC1OC(CO)C(O)C(O)C1O,0.79839313,194.2,-4.993,ok
7004,D7800,O=C(CSc1nc(=O)n(CCN2CCOCC2)c2c1CCC2)Nc1ccc(Cl)c(Cl)c1,0.79708207,483.4,-7.137,ok
2907,D7800,Cc1ccc(N2C(=O)c3[nH]nc(-c4ccc(Cl)cc4)c3C2c2ccc(F)cc2)cc1,0.7963363,417.9,-7.615,ok
5921,D7800,CCn1nnc2cc(C(=O)Nc3ccc(Br)cc3F)ccc21,0.79553175,363.2,-6.872,ok
4740,L6020,COC1C(O)C(O)C(O)C(O)C1O,0.7942142,194.2,-4.328,ok
6460,D7800,COc1ccc(Br)cc1CNC(=O)c1cc2n(n1)CCCN(Cc1ccc(C)cc1)C2=O,0.79328805,497.4,-6.943,ok
8213,L6020,CNC(=O)c1cc(Cl)cc(C)c1NC(=O)c1cc(Br)nn1-c1ncccc1Cl,0.7932582,483.2,-7.217,ok
2297,D7800,Cc1ccc(CNC(=O)Cn2c(=O)n(-c3ccc(Cl)cc3)c(=O)c3c(C)c(C)sc32)cc1,0.79213774,468.0,-7.417,ok
3351,D7800,Cc1ccc2oc(=O)c3cnn(CC(=O)N4CCN(c5cccc(C(F)(F)F)c5)CC4)c3c2c1,0.79096276,470.5,-8.755,ok
6131,D7800,O=C(NCc1cccc(Br)c1)c1ccc(NC(=O)N2CCCCc3ccccc32)cc1,0.790903,478.4,-6.091,ok
3549,D7800,Cc1ccc(CN2CCSc3ccc(C(=O)N4CCN(c5cc(C)ccc5C)CC4)cc32)cc1,0.7890161,471.7,-8.383,ok
2481,D7800,COc1ccc2c(c1)CCc1c(C(=O)Nc3c(C)nn(Cc4c(Cl)cccc4Cl)c3C)noc1-2,0.7886299,497.4,-8.104,ok
2532,D7800,Cc1ccc(NC(=O)Cn2c(=O)n(CCc3ccccc3)c(=O)c3c4c(sc32)CCCC4)cc1C,0.78797185,487.6,-8.356,ok
5922,D7800,CCn1nnc2cc(C(=O)Nc3ccc(C)cc3Br)ccc21,0.7879594,359.2,-7.083,ok
6225,D7800,Cc1cc(C)cc(NC(=O)CCc2c(C)nn(-c3ccc(N4CCOCC4)nn3)c2C)c1,0.7869324,434.5,-7.831,ok
5771,D7800,Cc1cc(C)c(NC(=O)CN2C(=O)C3(SCC(=O)N3c3ccc(F)cc3)c3ccccc32)c(C)c1,0.7854271,489.6,-7.127,ok
3852,D7800,CCN1CCN(C(=O)Cn2ncc3c4ccccc4n(Cc4c(C)cc(C)cc4C)c3c2=O)CC1,0.785227,471.6,-8.03,ok
1462,D7800,COc1ccc(-n2nc3cc(C)c(NC(=O)c4ccc(C)cc4C)cc3n2)cc1Cl,0.78449327,420.9,-7.666,ok
5843,D7800,Cc1ccc(Cl)cc1N1CCN(C(=O)c2c(C)oc3ncnc(N4CCCCC4)c23)CC1,0.7843936,454.0,-7.094,ok
6180,D7800,Cc1c(C(=O)N2CCOCC2)c(S(=O)(=O)Nc2ccc(Br)cc2F)c(C)n1C,0.78312075,474.4,-6.718,ok
5614,D7800,Cc1cccc(-n2c(=O)c3c(c4cc(C)ccc4n3C)n(CC(=O)Nc3ccc(C)c(C)c3)c2=O)c1,0.7829407,480.6,-8.339,ok
3722,D7800,Cc1c(NC(=O)Nc2ccc(Br)cc2F)sc2nc3n(c(=O)c12)CCC(C)CC3,0.782865,479.4,-5.888,ok
5805,D7800,Cc1ccc(C)c(N2CCN(CCCNc3ncnc4onc(-c5ccc(Cl)cc5)c34)CC2)c1,0.78240824,477.0,-7.081,ok
2732,D7800,Cc1ccc(C)c(N2CCN(C(=O)c3ccc(Nc4nc5ccccc5n5nnnc45)cc3)CC2)c1,0.78221905,478.6,-8.888,ok
5420,D7800,Cc1ccc(NC(=O)c2ccc(CNS(=O)(=O)c3ccc4c(c3)C(C)(C)C(=O)N4C)cc2)cc1C,0.7818201,491.6,-7.821,ok
6133,D7800,O=C(Cc1ccc(NC(=O)N2CCCCc3ccccc32)cc1)NCc1ccccc1Br,0.7818086,492.4,-5.86,ok
58,L6020,COc1c2c(c(C)c3c1C(=O)OC3)OC1(C)CC3(O)OCC4(C)OC5(OC)CCC(C)(C1C2)C43O5,0.78141844,488.5,-7.631,ok
6229,D7800,CCOc1ccc(CNC(=O)CCc2c(C)nn(-c3ccc(N4CCOCC4)nn3)c2C)cc1,0.7813861,464.6,-8.216,ok
2527,D7800,Cc1ccc(C)c(Cn2c(=O)n(-c3ccc(Cl)cc3)c(=O)c3c4c(sc32)CCC4)c1,0.78122526,437.0,-7.256,ok
5444,D7800,Cc1ccc(C)c(-n2nnc(-c3nc(-c4ccc(Cl)cc4)no3)c2N)c1,0.7811482,366.8,-7.822,ok
2339,D7800,Cc1ccc(Cl)cc1-n1nnc(-c2nsc(NC(=O)c3ccccc3Cl)n2)c1C,0.78110796,445.3,-7.944,ok
5743,D7800,Cc1ccc(NC(=O)c2ccc(CN3C(=O)CCn4nc(C)cc43)cc2)c(Cl)c1,0.78050524,408.9,-8.188,ok
543,D7800,Cc1ccc(Nc2nnc(-c3ccc(C)c(S(=O)(=O)N4CCOCC4)c3)c3ccccc23)c(C)c1,0.7804212,488.6,-8.227,ok
6754,D7800,Cc1ccc(C(=O)N2CCN(c3ccc(F)cc3)CC2)cc1NC(=O)c1nsc2ccccc12,0.77974546,474.6,-8.235,ok
2360,D7800,CC1=C(C(=O)Nc2ccc(C)cc2C)C(C(C)C)n2nc(SCc3ccccc3Cl)nc2N1,0.77895653,482.1,-7.554,ok
7479,L6020,CN(C)c1nc(N)nc(N)n1,0.7786507,154.2,-4.485,ok
3766,D7800,CC1=C(c2ccc(C)c(C)c2)S(=O)(=O)N(Cc2ccc(C(=O)NCc3ccc(C)cc3)cc2)C1=O,0.7785948,488.6,-9.041,ok
5572,D7800,Cc1ccc(N2CCN(C(=O)C3CCCN(c4ncnc5c4nc4n5CCCCC4)C3)CC2)c(C)c1,0.77828175,487.7,-6.607,ok
3447,D7800,Cc1ccc(Cl)cc1N1CCN(CCCNc2ncnc3onc(-c4ccc(Cl)cc4)c23)CC1,0.77678055,497.4,-7.445,ok
6065,D7800,Cc1ccc(C(=O)Nc2nc(-c3nnn(-c4cccc(C(F)(F)F)c4)c3C)ns2)cc1,0.77677476,444.4,-8.103,ok
6124,D7800,Cc1ccc(C)c(N2CCN(C(=O)c3c4c(nc5ccccc35)C(=O)N(C3CCCCC3)C4)CC2)c1,0.7764653,482.6,-7.712,ok
771,D7800,Cc1c(C(c2ccc(O)cc2)c2c(C)n(C)n(-c3ccccc3)c2=O)c(=O)n(-c2ccccc2)n1C,0.7763158,480.6,-7.481,ok
5491,D7800,Cc1ccc(NC(=O)CSc2nnc(-c3cc4occc4n3C)n2-c2ccccc2C)c(Cl)c1,0.7754946,492.0,-8.113,ok
1056,D7800,Cc1ccc(Nc2nc(N)nc(CSC(=S)N3CCOCC3)n2)c(C)c1,0.7754449,390.5,-7.132,ok
10014,L6020,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1,0.7753534,488.0,-6.768,ok
544,D7800,Cc1ccc(-c2nnc(Nc3ccc(Cl)cc3)c3ccccc23)cc1S(=O)(=O)N1CCOCC1,0.7742944,495.0,-8.57,ok
14984,L6020,COc1c2c(c(C)c3c1C(=O)OC3)OC1(C)CC(O)C34OC(OC)(OC3(C)C)C(O)CC4(C)C1C2,0.77401644,490.5,-7.561,ok
5697,D7800,CCc1ccc(NC(=O)c2ccc3c(=O)n4nc(Nc5ccccc5C)sc4nc3c2)cc1,0.77387327,455.5,-8.562,ok
6748,D7800,Cc1ccc(C)c(N2CCN(C(=O)c3ccc(NC(=O)c4nsc5ccccc45)cc3)CC2)c1,0.7734964,470.6,-8.69,ok
3253,D7800,Cc1cccc(N2CCN(C(=O)CCc3c(C)nc4c(c3C)c(=O)n(C)c(=O)n4C)CC2)c1C,0.7727822,463.6,-7.976,ok
5738,D7800,Cc1ccc(-n2nc3c(=O)n(CCCC(=O)NCc4ccc(Cl)cc4)nc(C)c3c2C)cc1,0.7723267,464.0,-8.179,ok
5915,D7800,Cn1nnc2cc(C(=O)Nc3ccc(Cl)cc3)ccc21,0.7719193,286.7,-7.13,ok
17049,L6020,CC(O)C12OC3=CC4=C(CC(=O)OC4(C)C)C(CO)=C4CC5(C)C(=O)OC(O1)C5C2C34C,0.7710744,444.5,-6.457,ok
3956,D7800,Cc1ccc(CSc2nnc(-n3c(=O)c(C#N)cc4c(=O)n5cc(C)ccc5nc43)s2)cc1,0.77079946,472.6,-8.272,ok
5918,D7800,CCn1nnc2cc(C(=O)Nc3cccc(Cl)c3)ccc21,0.7706161,300.7,-6.721,ok
2301,D7800,Cc1ccc(-n2c(=O)c3c4c(sc3n(Cc3cccc(Cl)c3)c2=O)CCC4)cc1C,0.76986426,437.0,-7.358,ok
267,L6020,C=C1C2(C)OC(=O)C34OC2C2=C(CO)C5(CCC2(C)C13C(=O)OC4C)C(O)CC(=O)OC5(C)C,0.76984304,474.5,-8.152,ok
626,D7800,CC1=C(C(=O)Nc2ccccc2Cl)C(c2cccc(Br)c2)NC(=O)N1,0.7693265,420.7,-7.235,ok
6011,L6020,O=C1OC(=O)C2C3CCC(O3)C12,0.76925224,168.1,-5.089,ok
2660,D7800,Cc1cc(C)cc(N2C(N)=NC(N)=NC2c2cccc(Cl)c2)c1,0.7684993,327.8,-7.975,ok
7005,D7800,Cc1cc(C)cc(NC(=O)CSc2nc(=O)n(CCN3CCOCC3)c3c2CCC3)c1,0.76815337,442.6,-7.464,ok
4846,D7800,O=C(Nc1ccc(Br)cc1)c1cccc(-n2cnnn2)c1,0.7675616,344.2,-6.794,ok
3675,D7800,Cc1cc(C)cc(-n2c(SCC(=O)Nc3ccccc3F)nc3c(oc4ccccc43)c2=O)c1,0.76722467,473.5,-8.14,ok
1037,D7800,CC1=C(C(=O)Nc2ccccc2)C(c2ccc(O)cc2)n2nc(-c3ccc(Cl)cc3)nc2N1,0.76606965,457.9,-8.067,ok
3188,D7800,Cc1ccc(C)c(NC(=O)c2ccc3c(c2)N(Cc2ccc(F)cc2)C(=O)CS3=O)c1,0.76605624,436.5,-8.374,ok
2530,D7800,CCN(CC)C(=O)Cn1c(=O)n(-c2ccc(C)c(C)c2)c(=O)c2c3c(sc21)CCCCC3,0.76527584,453.6,-5.195,ok
1735,D7800,c1cc(C2CCCCC2)ccc1Oc1nc(N2CCOCC2)nc(N2CCOCC2)n1,0.764617,425.5,-8.081,ok
5757,D7800,Cc1ccc(NC(=O)CN2CCCN(Cc3cc(C)ccc3C)S2(=O)=O)c(Cl)c1,0.7641789,436.0,-7.885,ok
6044,D7800,CCN1c2ccccc2-c2nc(SCC(=O)Nc3c(C)cc(C)cc3C)ncc2S1(=O)=O,0.763397,468.6,-7.86,ok
2432,D7800,Cc1cc(NC(=O)c2cc(-c3cccc(Cl)c3)on2)nn1Cc1ccc(Cl)cc1,0.7633471,427.3,-8.599,ok
15379,L6020,C=C1C2(C)CC3C4(C)OC(C5OC56C4=CC(=O)OC6(C)C)C3(C)C13C(=O)OC(C)C3(O)C2=O,0.7631172,456.5,-8.892,ok
1119,D7800,CC(=O)Nc1ccc(NC(=O)CSc2nnc3c4cc(Br)ccc4n(C)c3n2)cc1,0.76287884,485.4,-7.525,ok
3700,D7800,CCc1cc2c(cc3c(=O)n(CCCC(=O)NCc4cccc(Br)c4)ncn32)s1,0.7621522,473.4,-6.264,ok
4519,D7800,CCc1cccc(C)c1NC(=O)c1ccc2c(c1)CCN2S(=O)(=O)c1ccc(Cl)cc1,0.76166666,455.0,-7.445,ok
14367,L6020,CC1(C)OC(=O)C=C2C1=CC1OC(=O)C34COC5(C)C(=O)C6(C)CC(C2(C)OC63C5=O)C14C,0.76144457,454.5,-7.471,ok
2298,D7800,Cc1ccc(C)c(Cn2c(=O)n(-c3ccc(Cl)cc3)c(=O)c3c(C)c(C)sc32)c1,0.76136965,425.0,-7.135,ok
6778,D7800,Cc1nn(-c2ccc3nnc(C)n3n2)c(C)c1CCC(=O)Nc1ccc(OC(F)(F)F)cc1,0.76117873,459.4,-7.7,ok
4124,D7800,Cc1cc(C)n(-c2nc(N(C)C)nc(N3CCOCC3)n2)n1,0.7609973,303.4,-6.197,ok
6805,D7800,COc1ccc(C)cc1NC(=O)N1CCN(c2cc(-c3noc(C)n3)ccc2C)CC1,0.7607768,421.5,-7.628,ok
4561,D7800,Cc1cc(C)c(C(=O)Nc2ccccc2)c(SCC(=O)Nc2ccc(Br)cc2C)n1,0.7604957,484.4,-7.272,ok
6102,D7800,CC1=C(c2ccc(C)cc2)S(=O)(=O)N(Cc2ccc(C(=O)Nc3ccc(F)cc3C)cc2)C1=O,0.7601646,478.5,-8.469,ok
