idx,name,smiles,model_score,mw,docking_score,status
5674,D7800,CCCNc1nc(Nc2ccc(C)c(Cl)c2)c2cnn(C)c2n1,0.748203,330.8,-6.581,ok
5743,D7800,Cc1ccc(NC(=O)c2ccc(CN3C(=O)CCn4nc(C)cc43)cc2)c(Cl)c1,0.7472579,408.9,-8.164,ok
7321,D7800,Cc1ccc(Cl)cc1-n1ncc2c(Nc3ccc4c(c3)OCCO4)ncnc21,0.7471804,393.8,-7.844,ok
6115,D7800,Cc1ccc(NC(=O)N2CCN(c3nnc(C)c4c(C)n(-c5ccccc5)nc34)CC2)cc1Cl,0.74570525,476.0,-8.445,ok
6226,D7800,Cc1ccccc1NC(=O)CCc1c(C)nn(-c2ccc(N3CCOCC3)nn2)c1C,0.74508667,420.5,-8.099,ok
7333,D7800,Cc1ccc(Cl)cc1-n1ncc2c(NCc3ccc(F)cc3)ncnc21,0.7448596,367.8,-7.335,ok
9427,L6020,N#Cc1c(N)nc(NC2CC2)nc1N,0.74437165,190.2,-5.103,ok
10014,L6020,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1,0.7427892,488.0,-6.719,ok
5846,D7800,Cc1ccc(Cl)cc1N1CCN(C(=O)c2c(C)oc3ncnc(N4CCOCC4)c23)CC1,0.74276555,455.9,-7.081,ok
4458,D7800,Cc1ccc(-n2nc(C)c3c(C(F)(F)F)cc(-c4cccnc4)nc32)cc1C,0.7421177,382.4,-7.927,ok
5675,D7800,Cn1ncc2c(Nc3ccc(F)cc3)nc(NCc3ccccc3)nc21,0.74210703,348.4,-7.58,ok
3215,D7800,Cc1nc2c(-c3ccc(F)cc3)c(C)nn2c(C)c1CCC(=O)Nc1ccc(F)cc1F,0.74120915,438.5,-7.925,ok
7327,D7800,Cc1ccc(-n2ncc3c(N4CCN(C)CC4)ncnc32)cc1C,0.7390052,322.4,-6.902,ok
1056,D7800,Cc1ccc(Nc2nc(N)nc(CSC(=S)N3CCOCC3)n2)c(C)c1,0.73867,390.5,-7.034,ok
7127,L6020,Cn1cc2cc(C(F)(F)c3nnc4ccc(-c5cnn(C6CC6)c5)nn34)c(F)cc2n1,0.7372018,424.4,-8.196,ok
17049,L6020,CC(O)C12OC3=CC4=C(CC(=O)OC4(C)C)C(CO)=C4CC5(C)C(=O)OC(O1)C5C2C34C,0.7367793,444.5,-6.479,ok
6011,L6020,O=C1OC(=O)C2C3CCC(O3)C12,0.73657477,168.1,-4.987,ok
7331,D7800,Cc1ccc(-n2ncc3c(N4CCN(C)CC4)ncnc32)cc1Cl,0.73515236,342.8,-7.014,ok
14367,L6020,CC1(C)OC(=O)C=C2C1=CC1OC(=O)C34COC5(C)C(=O)C6(C)CC(C2(C)OC63C5=O)C14C,0.7342297,454.5,-7.435,ok
5787,D7800,Cc1cc(N2CCN(C)CC2)nc2ccc(NC(=O)Nc3ccc(F)cc3)cc12,0.7340503,393.5,-8.174,ok
7301,D7800,CC(=O)Nc1ccc(Nc2ncnc3c2c(-c2ccccc2)cn3-c2ccc(C)c(Cl)c2)cc1,0.7337796,468.0,-7.76,ok
7406,L6020,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,0.7316755,446.9,-7.048,ok
9675,L6020,CN1COCN(Cc2cnc(Cl)s2)C1=N[N+](=O)[O-],0.7290083,291.7,-5.031,ok
8117,D7800,Cc1nnc2ccc(N3CCOCC3)nn12,0.72889835,219.2,-5.693,ok
2120,D7800,CCN1CCN(c2cc(C)c3cc(NC(=O)c4cccc(C(F)(F)F)c4)ccc3n2)CC1,0.72859687,442.5,-7.559,ok
12592,L6020,NC(=O)C1=CC2C3C=CC2C(OC3=O)O1,0.72828346,207.2,-5.644,ok
15379,L6020,C=C1C2(C)CC3C4(C)OC(C5OC56C4=CC(=O)OC6(C)C)C3(C)C13C(=O)OC(C)C3(O)C2=O,0.7281947,456.5,-8.876,ok
7332,D7800,Cc1ccc(Cl)cc1-n1ncc2c(NC3CCCCC3)ncnc21,0.7277409,341.8,-6.545,ok
15843,L6020,C=C(C)C(=O)OC1CC2(C)OC(=CC2=O)C(=C)CC2OC(=O)C(=C)C12,0.7270266,344.4,-5.571,ok
6219,D7800,Cc1nn(-c2ccc(N3CCCC3)nn2)c(C)c1CCC(=O)Nc1ccc(F)c(Cl)c1,0.7264803,442.9,-8.24,ok
6229,D7800,CCOc1ccc(CNC(=O)CCc2c(C)nn(-c3ccc(N4CCOCC4)nn3)c2C)cc1,0.7254201,464.6,-8.013,ok
2215,D7800,Cc1nn(Cc2ccc(Cl)cc2)c(C)c1NC(=O)CCCn1nc([N+](=O)[O-])c(Cl)c1C,0.72536254,465.3,-7.563,ok
7334,D7800,CCc1ccc(Nc2ncnc3c2cnn3-c2cc(Cl)ccc2C)cc1,0.7244934,363.9,-7.46,ok
