idx,name,smiles,model_score,mw,docking_score,status
12505,L6020,COc1cc(O)c2c(O)c3c(cc2c1O)C[C@@H](C)OC3=O,0.29971582,290.3,-6.708,ok
1803,L6020,CSCO[C@H]1C[C@@H](CC=C(C)C)C(=O)c2ccccc21,0.3613769,290.4,-5.861,ok
6474,L6020,O=S(=O)(c1ccc(O)cc1)c1ccc(O)cc1,0.3329813,250.3,-6.274,ok
8797,L6020,O=c1cccc2n1C[C@H]1C[C@@H]2CN2CC[C@@H](O)C[C@H]12,0.30666584,260.3,-6.442,ok
18408,L6020,CC(=O)O[C@H]1CCC2[C@@](O)(CC[C@H]3[C@]4(C)CC[C@H]([C@H](C)CCC=C(C)C)[C@@]4(C)CC[C@@]23C)C1(C)C,0.35081953,486.8,-6.43,ok
6228,D7800,COc1ccc(CNC(=O)CCc2c(C)nn(-c3ccc(N4CCOCC4)nn3)c2C)c(OC)c1,0.6769041,480.6,-7.503,ok
480,D7800,Cc1ccc2c(c1C)OC(=O)CC2c1ccccc1,0.3619669,252.3,-7.236,ok
915,D7800,CC(C)Cc1nnc(NC(=O)CSc2nc(=O)cc(N)n2-c2ccccc2)s1,0.47392088,416.5,-6.79,ok
4899,L6020,CC(C)=CCCC(C)(O)C1CCC2(C)C1C(O)CC1C3(C)CCC(O)C(C)(C)C3CCC12C,0.49823937,460.7,-6.785,ok
3708,L6020,O=C1/C=C/CCc2ccc(O)c(c2)-c2cc(ccc2O)CC1,0.43520084,294.4,-5.073,ok
11832,L6020,COc1cc2c(cc1OC)-c1c3c(c(OC)c4c1C(C2)N(C)CC4)OCO3.Cl,0.4919753,405.9,,no_pdbqt
7499,D7800,CCOc1ccc(-c2cc(C(=O)NCc3ccc(C)cc3)c3ccccc3n2)cc1,0.51036257,396.5,-7.579,ok
