idx,name,smiles,score,mw,logp,hbd,hba,rotb,tpsa,lip_viol,veber,pains,druglike
5420,D7800,Cc1ccc(NC(=O)c2ccc(CNS(=O)(=O)c3ccc4c(c3)C(C)(C)C(=O)N4C)cc2)cc1C,0.7818201,491.6,4.29,2.0,4.0,6.0,95.6,0.0,True,False,True
6133,D7800,O=C(Cc1ccc(NC(=O)N2CCCCc3ccccc32)cc1)NCc1ccccc1Br,0.7818086,492.4,5.68,2.0,2.0,5.0,61.4,1.0,True,False,True
58,L6020,COc1c2c(c(C)c3c1C(=O)OC3)OC1(C)CC3(O)OCC4(C)OC5(OC)CCC(C)(C1C2)C43O5,0.78141844,488.5,2.75,1.0,9.0,2.0,101.9,0.0,True,False,True
6229,D7800,CCOc1ccc(CNC(=O)CCc2c(C)nn(-c3ccc(N4CCOCC4)nn3)c2C)cc1,0.7813861,464.6,2.76,1.0,8.0,9.0,94.4,0.0,True,False,True
2527,D7800,Cc1ccc(C)c(Cn2c(=O)n(-c3ccc(Cl)cc3)c(=O)c3c4c(sc32)CCC4)c1,0.78122526,437.0,5.02,0.0,5.0,3.0,44.0,1.0,True,False,True
5444,D7800,Cc1ccc(C)c(-n2nnc(-c3nc(-c4ccc(Cl)cc4)no3)c2N)c1,0.7811482,366.8,3.84,1.0,7.0,3.0,95.6,0.0,True,False,True
2339,D7800,Cc1ccc(Cl)cc1-n1nnc(-c2nsc(NC(=O)c3ccccc3Cl)n2)c1C,0.78110796,445.3,4.96,1.0,7.0,4.0,85.6,0.0,True,False,True
5743,D7800,Cc1ccc(NC(=O)c2ccc(CN3C(=O)CCn4nc(C)cc43)cc2)c(Cl)c1,0.78050524,408.9,4.34,1.0,4.0,4.0,67.2,0.0,True,False,True
543,D7800,Cc1ccc(Nc2nnc(-c3ccc(C)c(S(=O)(=O)N4CCOCC4)c3)c3ccccc23)c(C)c1,0.7804212,488.6,4.99,1.0,6.0,5.0,84.4,0.0,True,False,True
6754,D7800,Cc1ccc(C(=O)N2CCN(c3ccc(F)cc3)CC2)cc1NC(=O)c1nsc2ccccc12,0.77974546,474.6,4.96,1.0,5.0,4.0,65.5,0.0,True,False,True
2360,D7800,CC1=C(C(=O)Nc2ccc(C)cc2C)C(C(C)C)n2nc(SCc3ccccc3Cl)nc2N1,0.77895653,482.1,6.38,2.0,6.0,6.0,71.8,1.0,True,False,True
7479,L6020,CN(C)c1nc(N)nc(N)n1,0.7786507,154.2,-0.9,2.0,6.0,1.0,94.0,0.0,True,False,True
3766,D7800,CC1=C(c2ccc(C)c(C)c2)S(=O)(=O)N(Cc2ccc(C(=O)NCc3ccc(C)cc3)cc2)C1=O,0.7785948,488.6,4.65,1.0,4.0,6.0,83.6,0.0,True,False,True
5572,D7800,Cc1ccc(N2CCN(C(=O)C3CCCN(c4ncnc5c4nc4n5CCCCC4)C3)CC2)c(C)c1,0.77828175,487.7,3.73,0.0,7.0,3.0,70.4,0.0,True,False,True
3447,D7800,Cc1ccc(Cl)cc1N1CCN(CCCNc2ncnc3onc(-c4ccc(Cl)cc4)c23)CC1,0.77678055,497.4,5.52,1.0,7.0,7.0,70.3,1.0,True,False,True
6065,D7800,Cc1ccc(C(=O)Nc2nc(-c3nnn(-c4cccc(C(F)(F)F)c4)c3C)ns2)cc1,0.77677476,444.4,4.67,1.0,7.0,4.0,85.6,0.0,True,False,True
